station_name,taken_vmag_space,free_vmag_space,total_vmag_space,year,day&month,hour&min
034 Vert Bois,0,16,16,2022,01-15,21:30
035 Malbosc,3,5,8,2022,01-15,21:30
036 Occitanie,1,31,32,2022,01-15,21:30
037 FacdesSciences,4,20,24,2022,01-15,21:30
038 Fac de Lettres,0,16,16,2022,01-15,21:30
039 Aiguelongue,8,0,8,2022,01-15,21:30
040 Jeu de Mail des Abbés,3,5,8,2022,01-15,21:30
041 Euromédecine,3,5,8,2022,01-15,21:30
042 Marie Caizergues,0,8,8,2022,01-15,21:30
043 Sabines,6,2,8,2022,01-15,21:30
044 Celleneuve,6,2,8,2022,01-15,21:30
045 Jardin de la Lironde,4,4,8,2022,01-15,21:30
046 Père Soulas,2,6,8,2022,01-15,21:30
047 Place Viala,7,1,8,2022,01-15,21:30
048 Hôtel du Département,2,6,8,2022,01-15,21:30
049 Tonnelles,1,7,8,2022,01-15,21:30
050 Parvis Jules Ferry - Gare Saint-Roch,4,4,8,2022,01-15,21:30
051 Pont de Lattes - Gare Saint-Roch,7,5,12,2022,01-15,21:30
053 Deux Ponts - Gare Saint-Roch,3,5,8,2022,01-15,21:30
054 Providence - Ovalie,0,8,8,2022,01-15,21:30
055 Pérols Etang de l'Or,23,45,68,2022,01-15,21:30
056 Albert 1er - Cathédrale,1,11,12,2022,01-15,21:30
057 Saint-Guilhem - Courreau,5,3,8,2022,01-15,21:30
059 Sud De France,1,7,8,2022,01-15,21:30
station_name,taken_vmag_space,free_vmag_space,total_vmag_space,year,day&month,hour&min
001 Rue Jules Ferry - Gare Saint-Roch,4,8,12,2022,01-15,21:35
002 Comédie,9,15,24,2022,01-15,21:35
003 Esplanade,1,31,32,2022,01-15,21:35
004 Hôtel de Ville,6,10,16,2022,01-15,21:35
005 Corum,7,5,12,2022,01-15,21:35
006 Place Albert 1er - St Charles,11,20,31,2022,01-15,21:35
007 Foch,1,7,8,2022,01-15,21:35
008 Halles Castellane,7,5,12,2022,01-15,21:35
009 Observatoire,2,6,8,2022,01-15,21:35
010 Rondelet,4,12,16,2022,01-15,21:35
011 Plan Cabanes,6,6,12,2022,01-15,21:35
012 Boutonnet,4,8,12,2022,01-15,21:35
013 Emile Combes,6,2,8,2022,01-15,21:35
014 Beaux-Arts,6,2,8,2022,01-15,21:35
015 Les Aubes,7,1,8,2022,01-15,21:35
016 Antigone centre,8,8,16,2022,01-15,21:35
017 Médiathèque Emile Zola,7,9,16,2022,01-15,21:35
018 Nombre d'Or,8,8,16,2022,01-15,21:35
019 Louis Blanc,3,13,16,2022,01-15,21:35
020 Gambetta,3,5,8,2022,01-15,21:35
021 Port Marianne,13,3,16,2022,01-15,21:35
022 Clemenceau,0,12,12,2022,01-15,21:35
